Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.4,43.67,TORONTO CITY,6158355,2019-01-14,2019,1,14,,-1.1,,-6.9,,-4.0,,22.0,,0.0,,,,,,0.0,,1.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-01-15,2019,1,15,,0.9,,-3.1,,-1.1,,19.1,,0.0,,,,,,0.0,,1.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-01-16,2019,1,16,,0.2,,-9.7,,-4.8,,22.8,,0.0,,,,,,0.8,,1.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-01-17,2019,1,17,,-2.0,,-11.4,,-6.7,,24.7,,0.0,,,,,,0.2,,1.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-01-18,2019,1,18,,0.8,,-8.7,,-3.9,,21.9,,0.0,,,,,,1.0,,1.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-01-19,2019,1,19,,-8.5,,-15.5,,-12.0,,30.0,,0.0,,,,,,8.1,,2.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-01-20,2019,1,20,,-14.2,,-21.5,,-17.9,,35.9,,0.0,,,,,,2.6,,8.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-01-21,2019,1,21,,-11.0,,-21.5,,-16.2,,34.2,,0.0,,,,,,0.0,,3.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-01-22,2019,1,22,,1.0,,-14.7,,-6.9,,24.9,,0.0,,,,,,0.0,,3.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-01-23,2019,1,23,,5.7,,-0.2,,2.7,,15.3,,0.0,,,,,,11.0,,4.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-01-24,2019,1,24,,4.2,,-2.4,,0.9,,17.1,,0.0,,,,,,4.1,,2.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-01-25,2019,1,25,,-2.3,,-10.4,,-6.3,,24.3,,0.0,,,,,,0.4,,3.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-01-26,2019,1,26,,-4.4,,-12.3,,-8.3,,26.3,,0.0,,,,,,0.2,,2.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-01-27,2019,1,27,,-2.5,,-13.1,,-7.8,,25.8,,0.0,,,,,,7.1,,12.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-01-28,2019,1,28,,-2.8,,-18.2,,-10.5,,28.5,,0.0,,,,,,13.0,,9.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-01-29,2019,1,29,,0.9,,-14.1,,-6.6,,24.6,,0.0,,,,,,3.1,,29.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-01-30,2019,1,30,,-13.9,,-21.1,,-17.5,,35.5,,0.0,,,,,,0.2,,25.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-01-31,2019,1,31,,-12.6,,-21.2,,-16.9,,34.9,,0.0,,,,,,0.0,,22.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-02-01,2019,2,1,,-8.7,,-17.7,,-13.2,,31.2,,0.0,,,,,,0.0,,20.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-02-02,2019,2,2,,1.3,,-13.5,,-6.1,,24.1,,0.0,,,,,,0.0,,19.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-02-03,2019,2,3,,8.1,,0.4,,4.3,,13.7,,0.0,,,,,,0.0,,18.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-02-04,2019,2,4,,11.7,,5.5,,8.6,,9.4,,0.0,,,,,,2.1,,8.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-02-05,2019,2,5,,9.6,,-5.6,,2.0,,16.0,,0.0,,,,,,0.2,,1.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-02-06,2019,2,6,,-0.4,,-5.3,,-2.9,,20.9,,0.0,,,,,,11.0,,2.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-02-07,2019,2,7,,6.2,,-2.2,,2.0,,16.0,,0.0,,,,,,1.0,,3.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-02-08,2019,2,8,,5.9,,-8.7,,-1.4,,19.4,,0.0,,,,,,0.2,,2.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-02-09,2019,2,9,,-3.0,,-8.8,,-5.9,,23.9,,0.0,,,,,,0.0,,2.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-02-10,2019,2,10,,-2.5,,-7.8,,-5.1,,23.1,,0.0,,,,,,0.3,,2.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-02-11,2019,2,11,,-2.9,,-5.1,,-4.0,,22.0,,0.0,,,,,,0.7,,4.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-02-12,2019,2,12,,1.6,,-6.0,,-2.2,,20.2,,0.0,,,,,,20.9,,4.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-02-13,2019,2,13,,1.6,,-4.4,,-1.4,,19.4,,0.0,,,,,,3.2,,9.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-02-14,2019,2,14,,2.2,,-3.9,,-0.9,,18.9,,0.0,,,,,,1.9,,10.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-02-15,2019,2,15,,4.3,,-3.2,,0.5,,17.5,,0.0,,,,,,1.3,,9.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-02-16,2019,2,16,,-2.2,,-7.9,,-5.0,,23.0,,0.0,,,,,,0.2,,8.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-02-17,2019,2,17,,-5.4,,-9.7,,-7.6,,25.6,,0.0,,,,,,0.6,,8.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-02-18,2019,2,18,,-4.4,,-11.5,,-8.0,,26.0,,0.0,,,,,,2.3,,13.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-02-19,2019,2,19,,-2.4,,-12.5,,-7.4,,25.4,,0.0,,,,,,0.0,,12.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-02-20,2019,2,20,,0.9,,-6.7,,-2.9,,20.9,,0.0,,,,,,2.5,,11.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-02-21,2019,2,21,,4.4,,-1.0,,1.7,,16.3,,0.0,,,,,,0.2,,10.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-02-22,2019,2,22,,3.4,,-2.1,,0.6,,17.4,,0.0,,,,,,0.0,,8.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-02-23,2019,2,23,,2.6,,-2.2,,0.2,,17.8,,0.0,,,,,,0.0,,8.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-02-24,2019,2,24,,6.9,,-2.0,,2.5,,15.5,,0.0,,,,,,10.0,,7.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-02-25,2019,2,25,,-1.9,,-6.7,,-4.3,,22.3,,0.0,,,,,,0.4,,6.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-02-26,2019,2,26,,-4.2,,-9.9,,-7.0,,25.0,,0.0,,,,,,0.2,,6.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-02-27,2019,2,27,,-7.0,,-11.9,,-9.4,,27.4,,0.0,,,,,,8.6,,5.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-02-28,2019,2,28,,-5.9,,-14.4,,-10.1,,28.1,,0.0,,,,,,0.2,,21.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-03-01,2019,3,1,,0.1,,-7.3,,-3.6,,21.6,,0.0,,,,,,0.0,,17.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-03-02,2019,3,2,,-0.2,,-3.9,,-2.1,,20.1,,0.0,,,,,,2.9,,14.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-03-03,2019,3,3,,-0.7,,-7.7,,-4.2,,22.2,,0.0,,,,,,0.4,,17.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-03-04,2019,3,4,,-6.2,,-11.8,,-9.0,,27.0,,0.0,,,,,,0.2,,15.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-03-05,2019,3,5,,-7.4,,-13.0,,-10.2,,28.2,,0.0,,,,,,0.2,,15.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-03-06,2019,3,6,,-7.3,,-12.2,,-9.8,,27.8,,0.0,,,,,,0.0,,15.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-03-07,2019,3,7,,-4.3,,-11.1,,-7.7,,25.7,,0.0,,,,,,0.0,,15.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-03-08,2019,3,8,,-1.3,,-11.3,,-6.3,,24.3,,0.0,,,,,,0.0,,15.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-03-09,2019,3,9,,1.6,,-6.1,,-2.2,,20.2,,0.0,,,,,,0.9,,13.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-03-10,2019,3,10,,6.1,,1.2,,3.6,,14.4,,0.0,,,,,,14.4,,10.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-03-11,2019,3,11,,3.2,,-1.2,,1.0,,17.0,,0.0,,,,,,0.0,,7.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-03-12,2019,3,12,,3.9,,-2.0,,1.0,,17.0,,0.0,,,,,,0.2,,7.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-03-13,2019,3,13,,3.4,,-0.7,,1.3,,16.7,,0.0,,,,,,0.0,,5.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-03-14,2019,3,14,,10.9,,2.5,,6.7,,11.3,,0.0,,,,,,6.5,,4.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-03-15,2019,3,15,,10.4,,1.2,,5.8,,12.2,,0.0,,,,,,0.8,,3.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-03-16,2019,3,16,,2.8,,-3.4,,-0.3,,18.3,,0.0,,,,,,0.4,,3.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-03-17,2019,3,17,,3.3,,-5.3,,-1.0,,19.0,,0.0,,,,,,0.2,,2.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-03-18,2019,3,18,,4.7,,-1.8,,1.5,,16.5,,0.0,,,,,,0.0,,2.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-03-19,2019,3,19,,5.6,,-2.4,,1.6,,16.4,,0.0,,,,,,0.4,,1.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-03-20,2019,3,20,,9.8,,1.0,,5.4,,12.6,,0.0,,,,,,0.0,,3.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-03-21,2019,3,21,,8.0,,3.1,,5.6,,12.4,,0.0,,,,,,0.0,,1.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-03-22,2019,3,22,,4.6,,-3.4,,0.6,,17.4,,0.0,,,,,,0.2,,2.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-03-23,2019,3,23,,5.8,,-5.9,,-0.1,,18.1,,0.0,,,,,,0.2,,2.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-03-24,2019,3,24,,9.8,,0.4,,5.1,,12.9,,0.0,,,,,,0.0,,1.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-03-25,2019,3,25,,2.6,,-2.8,,-0.1,,18.1,,0.0,,,,,,0.0,,1.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-03-26,2019,3,26,,3.4,,-3.0,,0.2,,17.8,,0.0,,,,,,0.0,,2.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-03-27,2019,3,27,,7.8,,0.3,,4.0,,14.0,,0.0,,,,,,0.0,,1.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-03-28,2019,3,28,,11.6,,1.4,,6.5,,11.5,,0.0,,,,,,0.2,,0.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-03-29,2019,3,29,,11.5,,4.9,,8.2,,9.8,,0.0,,,,,,0.0,,0.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-03-30,2019,3,30,,6.2,,0.7,,3.4,,14.6,,0.0,,,,,,31.6,,1.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-03-31,2019,3,31,,2.1,,-3.1,,-0.5,,18.5,,0.0,,,,,,7.5,,3.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-04-01,2019,4,1,,3.7,,-4.4,,-0.4,,18.4,,0.0,,,,,,0.3,,5.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-04-02,2019,4,2,,8.8,,0.8,,4.8,,13.2,,0.0,,,,,,0.0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-04-03,2019,4,3,,7.9,,2.0,,5.0,,13.0,,0.0,,,,,,0.0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-04-04,2019,4,4,,6.2,,-0.8,,2.7,,15.3,,0.0,,,,,,0.0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-04-05,2019,4,5,,4.2,,0.9,,2.6,,15.4,,0.0,,,,,,0.0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-04-06,2019,4,6,,13.6,,3.8,,8.7,,9.3,,0.0,,,,,,0.0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-04-07,2019,4,7,,11.1,,6.7,,8.9,,9.1,,0.0,,,,,,3.3,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-04-08,2019,4,8,,16.4,,5.7,,11.0,,7.0,,0.0,,,,,,1.0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-04-09,2019,4,9,,11.9,,4.0,,7.9,,10.1,,0.0,,,,,,0.0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-04-10,2019,4,10,,7.1,,1.6,,4.4,,13.6,,0.0,,,,,,0.0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-04-11,2019,4,11,,4.4,,-0.2,,2.1,,15.9,,0.0,,,,,,0.8,,0.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-04-12,2019,4,12,,14.9,,4.4,,9.6,,8.4,,0.0,,,,,,1.4,,0.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-04-13,2019,4,13,,17.1,,4.9,,11.0,,7.0,,0.0,,,,,,0.0,,0.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-04-14,2019,4,14,,5.1,,2.6,,3.9,,14.1,,0.0,,,,,,24.0,,0.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-04-15,2019,4,15,,,M,,M,,M,,M,,M,,,,,,M,0.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-04-16,2019,4,16,,7.3,,1.3,,4.3,,13.7,,0.0,,,,,,0.0,,0.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-04-17,2019,4,17,,13.4,,2.7,,8.1,,9.9,,0.0,,,,,,0.0,,0.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-04-18,2019,4,18,,19.9,,6.8,,13.3,,4.7,,0.0,,,,,,0.3,,0.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-04-19,2019,4,19,,15.1,,5.6,,10.4,,7.6,,0.0,,,,,,18.8,,0.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-04-20,2019,4,20,,9.3,,5.4,,7.4,,10.6,,0.0,,,,,,9.1,,0.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-04-21,2019,4,21,,11.4,,6.8,,9.1,,8.9,,0.0,,,,,,0.0,,0.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-04-22,2019,4,22,,15.9,,7.0,,11.4,,6.6,,0.0,,,,,,0.0,,0.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-04-23,2019,4,23,,14.8,,6.8,,10.8,,7.2,,0.0,,,,,,3.1,,0.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-04-24,2019,4,24,,13.4,,4.9,,9.1,,8.9,,0.0,,,,,,0.0,,0.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-04-25,2019,4,25,,12.2,,4.8,,8.5,,9.5,,0.0,,,,,,0.0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-04-26,2019,4,26,,12.9,,4.1,,8.5,,9.5,,0.0,,,,,,19.4,,0.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-04-27,2019,4,27,,8.5,,1.8,,5.1,,12.9,,0.0,,,,,,0.0,,0.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-04-28,2019,4,28,,10.8,,3.3,,7.1,,10.9,,0.0,,,,,,0.0,,0.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-04-29,2019,4,29,,6.6,,2.3,,4.4,,13.6,,0.0,,,,,,0.5,,0.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-04-30,2019,4,30,,10.1,,4.7,,7.4,,10.6,,0.0,,,,,,0.3,,0.0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-05-01,2019,5,1,,9.0,,5.2,,7.1,,10.9,,0.0,,,,,,15.4,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-05-02,2019,5,2,,8.8,,4.4,,6.6,,11.4,,0.0,,,,,,2.4,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-05-03,2019,5,3,,11.7,,5.8,,8.7,,9.3,,0.0,,,,,,11.1,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-05-04,2019,5,4,,12.7,,8.0,,10.3,,7.7,,0.0,,,,,,0.4,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-05-05,2019,5,5,,16.5,,7.5,,12.0,,6.0,,0.0,,,,,,0.0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-05-06,2019,5,6,,21.9,,8.9,,15.4,,2.6,,0.0,,,,,,0.0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-05-07,2019,5,7,,13.5,,7.0,,10.3,,7.7,,0.0,,,,,,2.4,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-05-08,2019,5,8,,11.2,,6.1,,8.6,,9.4,,0.0,,,,,,0.0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-05-09,2019,5,9,,16.0,,7.6,,11.8,,6.2,,0.0,,,,,,6.1,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-05-10,2019,5,10,,16.2,,5.3,,10.8,,7.2,,0.0,,,,,,12.7,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-05-11,2019,5,11,,12.7,,3.8,,8.3,,9.7,,0.0,,,,,,0.0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-05-12,2019,5,12,,10.6,,4.9,,7.7,,10.3,,0.0,,,,,,4.9,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-05-13,2019,5,13,,7.8,,4.8,,6.3,,11.7,,0.0,,,,,,7.9,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-05-14,2019,5,14,,15.6,,6.6,,11.1,,6.9,,0.0,,,,,,1.0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-05-15,2019,5,15,,20.9,,6.8,,13.8,,4.2,,0.0,,,,,,6.3,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-05-16,2019,5,16,,15.6,,9.1,,12.4,,5.6,,0.0,,,,,,0.2,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-05-17,2019,5,17,,18.6,,10.3,,14.4,,3.6,,0.0,,,,,,0.0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-05-18,2019,5,18,,15.9,,8.7,,12.3,,5.7,,0.0,,,,,,0.0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-05-19,2019,5,19,,20.0,,9.8,,14.9,,3.1,,0.0,,,,,,2.9,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-05-20,2019,5,20,,19.1,,7.5,,13.3,,4.7,,0.0,,,,,,0.0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-05-21,2019,5,21,,19.1,,6.6,,12.8,,5.2,,0.0,,,,,,0.0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-05-22,2019,5,22,,14.2,,10.3,,12.3,,5.7,,0.0,,,,,,0.0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-05-23,2019,5,23,,25.9,,9.1,,17.5,,0.5,,0.0,,,,,,0.0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-05-24,2019,5,24,,21.9,,12.4,,17.1,,0.9,,0.0,,,,,,0.0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-05-25,2019,5,25,,19.9,,11.1,,15.5,,2.5,,0.0,,,,,,23.3,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-05-26,2019,5,26,,24.0,,14.4,,19.2,,0.0,,1.2,,,,,,0.0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-05-27,2019,5,27,,23.4,,12.6,,18.0,,0.0,,0.0,,,,,,0.0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-05-28,2019,5,28,,13.5,,9.2,,11.3,,6.7,,0.0,,,,,,2.7,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-05-29,2019,5,29,,14.9,,10.9,,12.9,,5.1,,0.0,,,,,,0.2,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-05-30,2019,5,30,,21.1,,11.3,,16.2,,1.8,,0.0,,,,,,0.0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-05-31,2019,5,31,,18.2,,10.5,,14.3,,3.7,,0.0,,,,,,0.0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-06-01,2019,6,1,,21.1,,12.0,,16.6,,1.4,,0.0,,,,,,0.0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-06-02,2019,6,2,,20.7,,8.8,,14.7,,3.3,,0.0,,,,,,2.6,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-06-03,2019,6,3,,18.1,,7.1,,12.6,,5.4,,0.0,,,,,,0.0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-06-04,2019,6,4,,15.9,,8.4,,12.1,,5.9,,0.0,,,,,,0.0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-06-05,2019,6,5,,17.7,,11.5,,14.6,,3.4,,0.0,,,,,,11.7,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-06-06,2019,6,6,,21.8,,14.4,,18.1,,0.0,,0.1,,,,,,0.0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-06-07,2019,6,7,,25.5,,13.2,,19.4,,0.0,,1.4,,,,,,0.0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-06-08,2019,6,8,,23.4,,15.2,,19.3,,0.0,,1.3,,,,,,0.0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-06-09,2019,6,9,,24.0,,16.3,,20.2,,0.0,,2.2,,,,,,0.0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-06-10,2019,6,10,,20.8,,12.8,,16.8,,1.2,,0.0,,,,,,25.3,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-06-11,2019,6,11,,23.3,,11.9,,17.6,,0.4,,0.0,,,,,,0.2,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-06-12,2019,6,12,,21.5,,11.1,,16.3,,1.7,,0.0,,,,,,0.0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-06-13,2019,6,13,,17.2,,13.3,,15.3,,2.7,,0.0,,,,,,19.1,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-06-14,2019,6,14,,23.3,,12.2,,17.8,,0.2,,0.0,,,,,,0.0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-06-15,2019,6,15,,20.4,,15.0,,17.7,,0.3,,0.0,,,,,,0.0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-06-16,2019,6,16,,19.6,,12.0,,15.8,,2.2,,0.0,,,,,,0.0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-06-17,2019,6,17,,21.5,,15.1,,18.3,,0.0,,0.3,,,,,,0.0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-06-18,2019,6,18,,24.6,,16.7,,20.7,,0.0,,2.7,,,,,,0.0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-06-19,2019,6,19,,25.1,,16.3,,20.7,,0.0,,2.7,,,,,,0.0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-06-20,2019,6,20,,21.7,,16.3,,19.0,,0.0,,1.0,,,,,,15.2,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-06-21,2019,6,21,,24.0,,14.9,,19.5,,0.0,,1.5,,,,,,0.0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-06-22,2019,6,22,,25.4,,14.2,,19.8,,0.0,,1.8,,,,,,0.0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-06-23,2019,6,23,,25.8,,14.3,,20.1,,0.0,,2.1,,,,,,0.0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-06-24,2019,6,24,,24.2,,16.0,,20.1,,0.0,,2.1,,,,,,18.1,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-06-25,2019,6,25,,26.2,,17.2,,21.7,,0.0,,3.7,,,,,,0.3,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-06-26,2019,6,26,,29.5,,18.4,,24.0,,0.0,,6.0,,,,,,0.0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-06-27,2019,6,27,,28.6,,18.3,,23.4,,0.0,,5.4,,,,,,0.0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-06-28,2019,6,28,,28.4,,19.3,,23.8,,0.0,,5.8,,,,,,13.3,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-06-29,2019,6,29,,28.6,,19.4,,24.0,,0.0,,6.0,,,,,,0.2,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2019-06-30,2019,6,30,,25.1,,18.0,,21.5,,0.0,,3.5,,,,,,0.0,,,,,M,,M
